#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (2.325223687009446621e+08+0.000000000000000000e+00j)  (-1.382975144984930754e+08+2.274861843762849569e+08j)
 (2.335246202901728749e+08+0.000000000000000000e+00j)  (-1.340527479560394883e+08+2.296970965283505619e+08j)
 (2.345268718794010878e+08+0.000000000000000000e+00j)  (-1.297727851312459409e+08+2.318282193183573484e+08j)
 (2.355291234686293006e+08+0.000000000000000000e+00j)  (-1.254591371219381988e+08+2.338789979503564239e+08j)
 (2.365313750578575134e+08+0.000000000000000000e+00j)  (-1.211133236112120003e+08+2.358489064633364081e+08j)
 (2.375336266470857263e+08+0.000000000000000000e+00j)  (-1.167368723130413741e+08+2.377374478597978354e+08j)
 (2.385358782363139391e+08+0.000000000000000000e+00j)  (-1.123313184160727710e+08+2.395441542235901058e+08j)
 (2.395381298255421519e+08+0.000000000000000000e+00j)  (-1.078982040258152187e+08+2.412685868269859552e+08j)
 (2.405403814147703648e+08+0.000000000000000000e+00j)  (-1.034390776054357290e+08+2.429103362269765139e+08j)
 (2.415426330039985776e+08+0.000000000000000000e+00j)  (-9.895549341537000239e+07+2.444690223507715464e+08j)
 (2.425448845932267606e+08+0.000000000000000000e+00j)  (-9.444901095195837319e+07+2.459442945704953372e+08j)
 (2.435471361824549735e+08+0.000000000000000000e+00j)  (-8.992119438531689346e+07+2.473358317670718431e+08j)
 (2.445493877716831863e+08+0.000000000000000000e+00j)  (-8.537361199665328860e+07+2.486433423832963705e+08j)
 (2.455516393609113991e+08+0.000000000000000000e+00j)  (-8.080783561523710191e+07+2.498665644660969973e+08j)
 (2.465538909501396120e+08+0.000000000000000000e+00j)  (-7.622544005523350835e+07+2.510052656979907453e+08j)
