#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.984458146671855450e+08+0.000000000000000000e+00j)  (-1.110020919076976398e+01-5.861796064275362994e+01j)
 (1.994480662564137578e+08+0.000000000000000000e+00j)  (-1.137175332949523643e+01-5.838379042702476340e+01j)
 (2.004503178456419706e+08+0.000000000000000000e+00j)  (-1.106471353128275403e+01-5.825186682110224723e+01j)
 (2.014525694348701835e+08+0.000000000000000000e+00j)  (-1.113665314310472176e+01-5.856594843979243592e+01j)
 (2.024548210240983665e+08+0.000000000000000000e+00j)  (-1.140111746976192642e+01-5.833012109915625132e+01j)
 (2.034570726133265793e+08+0.000000000000000000e+00j)  (-1.109603330531518850e+01-5.820581820536190065e+01j)
 (2.044593242025547922e+08+0.000000000000000000e+00j)  (-1.117338738785560182e+01-5.851512190231534305e+01j)
 (2.054615757917830050e+08+0.000000000000000000e+00j)  (-1.143088520974814948e+01-5.827773324685831113e+01j)
 (2.064638273810112178e+08+0.000000000000000000e+00j)  (-1.112778095160751235e+01-5.816089790450957508e+01j)
 (2.074660789702394307e+08+0.000000000000000000e+00j)  (-1.121040444968249439e+01-5.846546898224922018e+01j)
 (2.084683305594676435e+08+0.000000000000000000e+00j)  (-1.146104395616288585e+01-5.822661158290404870e+01j)
 (2.094705821486958563e+08+0.000000000000000000e+00j)  (-1.115994356493133388e+01-5.811709623559119109e+01j)
 (2.104728337379240692e+08+0.000000000000000000e+00j)  (-1.124769613176254524e+01-5.841697769317773492e+01j)
 (2.114750853271522820e+08+0.000000000000000000e+00j)  (-1.149158122322079834e+01-5.817674181916869713e+01j)
 (2.124773369163804650e+08+0.000000000000000000e+00j)  (-1.119250910604983851e+01-5.807440433928564971e+01j)
 (2.134795885056086779e+08+0.000000000000000000e+00j)  (-1.128525523232897854e+01-5.836963658733824190e+01j)
 (2.144818400948368907e+08+0.000000000000000000e+00j)  (-1.152248545934902602e+01-5.812810998893672121e+01j)
 (2.154840916840651035e+08+0.000000000000000000e+00j)  (-1.122546599723391658e+01-5.803281383684365835e+01j)
 (2.164863432732933164e+08+0.000000000000000000e+00j)  (-1.132307525913947721e+01-5.832343575294133586e+01j)
 (2.174885948625215292e+08+0.000000000000000000e+00j)  (-1.155374753805876864e+01-5.808070373371761264e+01j)
 (2.184908464517497420e+08+0.000000000000000000e+00j)  (-1.125880597331815380e+01-5.799231606660150362e+01j)
 (2.194930980409779549e+08+0.000000000000000000e+00j)  (-1.136115190304506761e+01-5.827836326793018173e+01j)
 (2.204953496302061677e+08+0.000000000000000000e+00j)  (-1.158535869010652952e+01-5.803450832119323621e+01j)
 (2.214976012194343805e+08+0.000000000000000000e+00j)  (-1.129251944718292222e+01-5.795290084860042867e+01j)
 (2.224998528086625636e+08+0.000000000000000000e+00j)  (-1.139947890467500535e+01-5.823440761929155229e+01j)
 (2.235021043978907764e+08+0.000000000000000000e+00j)  (-1.161730921106818926e+01-5.798951105136571016e+01j)
 (2.245043559871189892e+08+0.000000000000000000e+00j)  (-1.132659742967245187e+01-5.791456039181686322e+01j)
 (2.255066075763472021e+08+0.000000000000000000e+00j)  (-1.143805196368867172e+01-5.819155914947052111e+01j)
 (2.265088591655754149e+08+0.000000000000000000e+00j)  (-1.164959210705357862e+01-5.794569947519933351e+01j)
 (2.275111107548036277e+08+0.000000000000000000e+00j)  (-1.136103246909733322e+01-5.787728540549159817e+01j)
 (2.285133623440318406e+08+0.000000000000000000e+00j)  (-1.147686611921936795e+01-5.814980707446258634e+01j)
 (2.295156139332600534e+08+0.000000000000000000e+00j)  (-1.168219920012082191e+01-5.790306211524870861e+01j)
 (2.305178655224882662e+08+0.000000000000000000e+00j)  (-1.139581747153563818e+01-5.784106893719449971e+01j)
 (2.315201171117164791e+08+0.000000000000000000e+00j)  (-1.151591877346297821e+01-5.810914236795863275e+01j)
 (2.325223687009446621e+08+0.000000000000000000e+00j)  (-1.171512533136053413e+01-5.786158709820516322e+01j)
 (2.335246202901728749e+08+0.000000000000000000e+00j)  (-1.143094680944391861e+01-5.780590189363674369e+01j)
 (2.345268718794010878e+08+0.000000000000000000e+00j)  (-1.155520671316022607e+01-5.806955421950085139e+01j)
 (2.355291234686293006e+08+0.000000000000000000e+00j)  (-1.174836394792524530e+01-5.782126215145090953e+01j)
 (2.365313750578575134e+08+0.000000000000000000e+00j)  (-1.146641350674148896e+01-5.777177594761458579e+01j)
 (2.375336266470857263e+08+0.000000000000000000e+00j)  (-1.159472602777028705e+01-5.803103372277559657e+01j)
 (2.385358782363139391e+08+0.000000000000000000e+00j)  (-1.178190937090001533e+01-5.778207722700650351e+01j)
 (2.395381298255421519e+08+0.000000000000000000e+00j)  (-1.150221259530930240e+01-5.773868379373292470e+01j)
 (2.405403814147703648e+08+0.000000000000000000e+00j)  (-1.163447441948801320e+01-5.799357157189025713e+01j)
 (2.415426330039985776e+08+0.000000000000000000e+00j)  (-1.181575635213365061e+01-5.774402148035757421e+01j)
 (2.425448845932267606e+08+0.000000000000000000e+00j)  (-1.153833866837388022e+01-5.770661799926726587e+01j)
 (2.435471361824549735e+08+0.000000000000000000e+00j)  (-1.167444934584523075e+01-5.795715929495098351e+01j)
 (2.445493877716831863e+08+0.000000000000000000e+00j)  (-1.184990020101747632e+01-5.770708495120172188e+01j)
 (2.455516393609113991e+08+0.000000000000000000e+00j)  (-1.157478692102391093e+01-5.767557144288105064e+01j)
