#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (3.775991602782697678e+08+0.000000000000000000e+00j)  (-7.898423613356762019e+00-1.139740165635393598e+00j)
 (3.795970394331812859e+08+0.000000000000000000e+00j)  (1.404049780200536723e+00-2.570880322485636249e+00j)
 (3.815949185880927444e+08+0.000000000000000000e+00j)  (3.207312552516307314e+00-1.196478274623767390e+01j)
 (3.835927977430042028e+08+0.000000000000000000e+00j)  (-5.004265790163656469e+00-1.681009428758245505e+01j)
 (3.855906768979157209e+08+0.000000000000000000e+00j)  (-1.213973145576087553e+01-1.064641910889431387e+01j)
 (3.875885560528271794e+08+0.000000000000000000e+00j)  (-8.446753879914094654e+00-1.934995224312154871e+00j)
 (3.895864352077386975e+08+0.000000000000000000e+00j)  (1.181903978177615278e+00-2.708359576597221263e+00j)
 (3.915843143626501560e+08+0.000000000000000000e+00j)  (3.698961746880486956e+00-1.220785276930346974e+01j)
 (3.935821935175616145e+08+0.000000000000000000e+00j)  (-4.400350617409297449e+00-1.775753457196474727e+01j)
 (3.955800726724731326e+08+0.000000000000000000e+00j)  (-1.217181375908567809e+01-1.191319905410112590e+01j)
 (3.975779518273845911e+08+0.000000000000000000e+00j)  (-8.978725519079176820e+00-2.696961648180471460e+00j)
 (3.995758309822960496e+08+0.000000000000000000e+00j)  (9.714301828609948064e-01-2.843083772262044562e+00j)
 (4.015737101372075677e+08+0.000000000000000000e+00j)  (4.177065476845998937e+00-1.245559907225725915e+01j)
 (4.035715892921190262e+08+0.000000000000000000e+00j)  (-3.822126706506142835e+00-1.869231565696859576e+01j)
 (4.055694684470305443e+08+0.000000000000000000e+00j)  (-1.221674755885465302e+01-1.315304554106072210e+01j)
 (4.075673476019420028e+08+0.000000000000000000e+00j)  (-9.505199405535025292e+00-3.439575493245850435e+00j)
 (4.095652267568534613e+08+0.000000000000000000e+00j)  (7.684675266327035681e-01-2.977868969521380915e+00j)
 (4.115631059117649794e+08+0.000000000000000000e+00j)  (4.649288846791926666e+00-1.271346937519854770e+01j)
 (4.135609850666764379e+08+0.000000000000000000e+00j)  (-3.261170444734233786e+00-1.963137646249611734e+01j)
 (4.155588642215878963e+08+0.000000000000000000e+00j)  (-1.227679148929867914e+01-1.438688931884760613e+01j)
 (4.175567433764994144e+08+0.000000000000000000e+00j)  (-1.003560571902467480e+01-4.174995535099095711e+00j)
 (4.195546225314108729e+08+0.000000000000000000e+00j)  (5.692782456443904460e-01-3.115553092183807049e+00j)
 (4.215525016863223314e+08+0.000000000000000000e+00j)  (5.121962402479332432e+00-1.298676120937414780e+01j)
 (4.235503808412338495e+08+0.000000000000000000e+00j)  (-2.710704752928584593e+00-2.059009970619132446e+01j)
 (4.255482599961453080e+08+0.000000000000000000e+00j)  (-1.235471809234562457e+01-1.563355481238772349e+01j)
 (4.275461391510568261e+08+0.000000000000000000e+00j)  (-1.057909146344245777e+01-4.914166101822067922e+00j)
 (4.295440183059682846e+08+0.000000000000000000e+00j)  (3.698797037720921721e-01-3.258739101057596343e+00j)
 (4.315418974608797431e+08+0.000000000000000000e+00j)  (5.600203077602006196e+00-1.328038821479856857e+01j)
 (4.335397766157912612e+08+0.000000000000000000e+00j)  (-2.165292403332773841e+00-2.158262272236574475e+01j)
 (4.355376557707027197e+08+0.000000000000000000e+00j)  (-1.245390942693242309e+01-1.691025099418855149e+01j)
 (4.375355349256141782e+08+0.000000000000000000e+00j)  (-1.114482354286161758e+01-5.666899565712444797e+00j)
 (4.395334140805256963e+08+0.000000000000000000e+00j)  (1.661308732589117931e-01-3.409532998598206799e+00j)
 (4.415312932354371548e+08+0.000000000000000000e+00j)  (6.088478508800403866e+00-1.359888677729297335e+01j)
 (4.435291723903486729e+08+0.000000000000000000e+00j)  (-1.620384867423519726e+00-2.262239374075674547e+01j)
 (4.455270515452601314e+08+0.000000000000000000e+00j)  (-1.257851223015346243e+01-1.823318882083234271e+01j)
 (4.475249307001715899e+08+0.000000000000000000e+00j)  (-1.174247388551084903e+01-6.441878520109304951e+00j)
 (4.495228098550831079e+08+0.000000000000000000e+00j)  (-4.633566211192928497e-02-3.568890611914929956e+00j)
 (4.515206890099945664e+08+0.000000000000000000e+00j)  (6.591326488938197059e+00-1.394573081832086459e+01j)
 (4.535185681649060249e+08+0.000000000000000000e+00j)  (-1.071143213467137256e+00-2.372201098089085747e+01j)
 (4.555164473198175430e+08+0.000000000000000000e+00j)  (-1.273230815577037411e+01-1.961791927153836568e+01j)
 (4.575143264747290015e+08+0.000000000000000000e+00j)  (-1.238124414749595559e+01-7.247170135706013205e+00j)
 (4.595122056296404600e+08+0.000000000000000000e+00j)  (-2.710924144908068434e-01-3.737257921560802831e+00j)
 (4.615100847845519781e+08+0.000000000000000000e+00j)  (7.114396653267802684e+00-1.432434833920711803e+01j)
 (4.635079639394634366e+08+0.000000000000000000e+00j)  (-5.117606973798083381e-01-2.489465523209838693e+01j)
 (4.655058430943749547e+08+0.000000000000000000e+00j)  (-1.291864954367165907e+01-2.108074849829304043e+01j)
 (4.675037222492864132e+08+0.000000000000000000e+00j)  (-1.307009924236575671e+01-8.091151383497889427e+00j)
