#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (3.240093468440279961e+08+0.000000000000000000e+00j)  (1.129971024951766623e+01+1.526376095303309810e-01j)
 (3.260094045405960679e+08+0.000000000000000000e+00j)  (2.747316823459401647e+01+2.180637825763476645e+00j)
 (3.280094622371641397e+08+0.000000000000000000e+00j)  (3.398894465790695563e+01-1.195138727274618873e+01j)
 (3.300095199337322116e+08+0.000000000000000000e+00j)  (2.253335794305843720e+01-2.202499662783908363e+01j)
 (3.320095776303002834e+08+0.000000000000000000e+00j)  (9.395617047559278845e+00-1.413412151812777751e+01j)
 (3.340096353268684149e+08+0.000000000000000000e+00j)  (1.249880002967203829e+01+7.887957972263903716e-01j)
 (3.360096930234364867e+08+0.000000000000000000e+00j)  (2.712169793261730888e+01+2.701702954161647519e+00j)
 (3.380097507200045586e+08+0.000000000000000000e+00j)  (3.313096263484011672e+01-1.011103533896740991e+01j)
 (3.400098084165726304e+08+0.000000000000000000e+00j)  (2.277530933120504031e+01-1.938727303437369187e+01j)
 (3.420098661131407022e+08+0.000000000000000000e+00j)  (1.073316179998392883e+01-1.230994252794612720e+01j)
 (3.440099238097087741e+08+0.000000000000000000e+00j)  (1.346155079273666466e+01+1.331366599044079502e+00j)
 (3.460099815062768459e+08+0.000000000000000000e+00j)  (2.684657923105669042e+01+3.166853542139834055e+00j)
 (3.480100392028449178e+08+0.000000000000000000e+00j)  (3.245862924509444980e+01-8.578238687443604960e+00j)
 (3.500100968994129896e+08+0.000000000000000000e+00j)  (2.299673137826908942e+01-1.721351393869282731e+01j)
 (3.520101545959810615e+08+0.000000000000000000e+00j)  (1.183778759551365312e+01-1.079836155146707632e+01j)
 (3.540102122925491333e+08+0.000000000000000000e+00j)  (1.425281988660766785e+01+1.807310745706546040e+00j)
 (3.560102699891172051e+08+0.000000000000000000e+00j)  (2.662713629839976903e+01+3.593506003631558254e+00j)
 (3.580103276856852770e+08+0.000000000000000000e+00j)  (3.192373217155902054e+01-7.268838006232831717e+00j)
 (3.600103853822533488e+08+0.000000000000000000e+00j)  (2.320457347839877826e+01-1.538118085921414924e+01j)
 (3.620104430788214207e+08+0.000000000000000000e+00j)  (1.276997073333081012e+01-9.518498340338446440e+00j)
 (3.640105007753894925e+08+0.000000000000000000e+00j)  (1.491555871201861549e+01+2.234773309779435113e+00j)
 (3.660105584719575644e+08+0.000000000000000000e+00j)  (2.644955603182877368e+01+3.993793396762642889e+00j)
 (3.680106161685256362e+08+0.000000000000000000e+00j)  (3.149401167102162091e+01-6.125591900770660736e+00j)
 (3.700106738650937080e+08+0.000000000000000000e+00j)  (2.340389309873743429e+01-1.380670879633005654e+01j)
 (3.720107315616617799e+08+0.000000000000000000e+00j)  (1.357129534857719655e+01-8.414811669851630427e+00j)
 (3.740107892582298517e+08+0.000000000000000000e+00j)  (1.547940382433655770e+01+2.626556843081781611e+00j)
 (3.760108469547979236e+08+0.000000000000000000e+00j)  (2.630434037887492238e+01+4.376637111208919961e+00j)
 (3.780109046513659954e+08+0.000000000000000000e+00j)  (3.114724200628815609e+01-5.107984076666984841e+00j)
 (3.800109623479340672e+08+0.000000000000000000e+00j)  (2.359866424656711814e+01-1.243100949066186089e+01j)
 (3.820110200445021391e+08+0.000000000000000000e+00j)  (1.427146053211365029e+01-7.447826537091420285e+00j)
 (3.840110777410702705e+08+0.000000000000000000e+00j)  (1.596555266175509580e+01+2.992049534463379956e+00j)
 (3.860111354376383424e+08+0.000000000000000000e+00j)  (2.618484750246675219e+01+4.748906420685491625e+00j)
 (3.880111931342064142e+08+0.000000000000000000e+00j)  (3.086781340568151322e+01-4.186344753016450149e+00j)
 (3.900112508307744861e+08+0.000000000000000000e+00j)  (2.379226326507255962e+01-1.121102586201878815e+01j)
 (3.920113085273425579e+08+0.000000000000000000e+00j)  (1.489242145483719248e+01-6.588701968290338051e+00j)
 (3.940113662239106297e+08+0.000000000000000000e+00j)  (1.638965746150237379e+01+3.338331570428608508e+00j)
 (3.960114239204787016e+08+0.000000000000000000e+00j)  (2.608639397114164638e+01+5.116081960618051205e+00j)
 (3.980114816170467734e+08+0.000000000000000000e+00j)  (3.064463767445556996e+01-3.338313007434357438e+00j)
 (4.000115393136148453e+08+0.000000000000000000e+00j)  (2.398774193031515978e+01-1.011459535789996522e+01j)
 (4.020115970101829171e+08+0.000000000000000000e+00j)  (1.545090819923776593e+01-5.815908810900815240e+00j)
 (4.040116547067509890e+08+0.000000000000000000e+00j)  (1.676357954576553766e+01+3.670847708997243330e+00j)
 (4.060117124033190608e+08+0.000000000000000000e+00j)  (2.600565127130009913e+01+5.482672260633517425e+00j)
 (4.080117700998871326e+08+0.000000000000000000e+00j)  (3.046979788915829346e+01-2.546598793797999249e+00j)
 (4.100118277964552045e+08+0.000000000000000000e+00j)  (2.418797755998749466e+01-9.117187995958969893e+00j)
 (4.120118854930232763e+08+0.000000000000000000e+00j)  (1.596000464505590166e+01-5.113112799168369804e+00j)
 (4.140119431895913482e+08+0.000000000000000000e+00j)  (1.709647278553937966e+01+3.993839287729457066e+00j)
 (4.160120008861594200e+08+0.000000000000000000e+00j)  (2.594020515122047144e+01+5.852499437333064769e+00j)
 (4.180120585827274919e+08+0.000000000000000000e+00j)  (3.033762668284248321e+01-1.797496332317264356e+00j)
 (4.200121162792955637e+08+0.000000000000000000e+00j)  (2.439573730861751955e+01-8.199738735625192732e+00j)
 (4.220121739758636355e+08+0.000000000000000000e+00j)  (1.643015316279320714e+01-4.467749823538709641e+00j)
 (4.240122316724317074e+08+0.000000000000000000e+00j)  (1.739546088250456535e+01+4.310669555648776630e+00j)
 (4.260122893689997792e+08+0.000000000000000000e+00j)  (2.588822717566412379e+01+6.228944105146597465e+00j)
 (4.280123470655678511e+08+0.000000000000000000e+00j)  (3.024407051781453504e+01-1.079828008858771060e+00j)
 (4.300124047621359229e+08+0.000000000000000000e+00j)  (2.461371336974482915e+01-7.347136544265707947e+00j)
 (4.320124624587039948e+08+0.000000000000000000e+00j)  (1.686981943771960246e+01-3.870017838424521628e+00j)
 (4.340125201552720666e+08+0.000000000000000000e+00j)  (1.766607109156935707e+01+4.624099762363452548e+00j)
 (4.360125778518401980e+08+0.000000000000000000e+00j)  (2.584822833819071164e+01+6.615190773124799861e+00j)
 (4.380126355484082699e+08+0.000000000000000000e+00j)  (3.018625483953875843e+01-3.841288452239471907e-01j)
 (4.400126932449763417e+08+0.000000000000000000e+00j)  (2.484456988097459984e+01-6.547099905079599047e+00j)
